Category,Sub Category,Type,Brand,Product Name,UPC Code,Product Description,Price,Tax,Store,Size,UOM,Image,Spice Level,Aisle No.,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Luna,Luna Chocolate Dipped Coconut Whole Nutrition Bar,,Luna Chocolate Dipped Coconut Whole Nutrition Bar,1.25,0,Market Basket,1.7 oz,1.7 oz,1293.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Luna,Luna Chocolate Peppermint Stick Whole Nutrition Bar,,Luna Chocolate Peppermint Stick Whole Nutrition Bar,1.25,0,Market Basket,1.69 oz,1.69 oz,1291.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Luna,Luna Fiber Soft Baked Fruit Filled Bar Peanut Butter Strawberry,,Luna Fiber Soft Baked Fruit Filled Bar Peanut Butter Strawberry,1.29,0,Market Basket,1.41 oz,1.41 oz,1292.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Luna,Luna S'mores Whole Nutrition Bar,,Luna S'mores Whole Nutrition Bar,1.25,0,Market Basket,1.7 oz,1.7 oz,1297.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Luna,Luna White Chocolate Macadamia Whole Nutrition Bar,,Luna White Chocolate Macadamia Whole Nutrition Bar,1.25,0,Market Basket,1.69 oz,1.69 oz,1296.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Luna,Luna Whole Nutrition Bar Lemonzest,,Luna Whole Nutrition Bar Lemonzest,1.25,0,Market Basket,1.7 oz,1.7 oz,1290.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Luna,Luna Whole Nutrition Bar Nut Over Chocolate,,Luna Whole Nutrition Bar Nut Over Chocolate,1.25,0,Market Basket,1.7 oz,1.7 oz,1294.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,MET-Rx,MET Rx Protein Plus Protein Bar Chocolate Roasted Peanut with Caramel,,MET Rx Protein Plus Protein Bar Chocolate Roasted Peanut with Caramel,1.89,0,Market Basket,3 oz,3 oz,15244.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Odwalla,Odwalla Blueberry Swirl Superfood Bar,,Odwalla Blueberry Swirl Superfood Bar,2.49,0,Market Basket,2 oz,2 oz,15265.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Perfect Bar,Perfect Bar Almond Butter,,Perfect Bar Almond Butter,2.79,0,Market Basket,2.3 oz,2.3 oz,15229.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Perfect Foods,Perfect Foods Peanut Butter Bar,,Perfect Foods Peanut Butter Bar,2.99,0,Market Basket,2.5 oz,2.5 oz,15253.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Power Crunch,Power Crunch Protein Energy Bar Original Cookies & Creme,,Power Crunch Protein Energy Bar Original Cookies & Creme,1.87,0,Market Basket,1.4 oz,1.4 oz,15235.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Power Crunch,Power Crunch Protein Energy Bar Original French Vanilla Creme,,Power Crunch Protein Energy Bar Original French Vanilla Creme,1.87,0,Market Basket,1.4 oz,1.4 oz,15223.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Power Crunch,Power Crunch Protein Energy Bar Original Peanut Butter Creme,,Power Crunch Protein Energy Bar Original Peanut Butter Creme,1.87,0,Market Basket,1.4 oz,1.4 oz,15252.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Power Crunch,Power Crunch Protein Energy Bar Original Peanut Butter Fudge,,Power Crunch Protein Energy Bar Original Peanut Butter Fudge,1.87,0,Market Basket,1.4 oz,1.4 oz,15238.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,PowerBar,PowerBar Chocolate Crisp Protein Bar,,PowerBar Chocolate Crisp Protein Bar,2.49,0,Market Basket,2.15 oz,2.15 oz,1320.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Pure Protein,Pure Protein Bar Chocolate Deluxe,,Pure Protein Bar Chocolate Deluxe,1.29,0,Market Basket,1.76 oz,1.76 oz,15246.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Pure Protein,Pure Protein Bar Chocolate Peanut Butter,,Pure Protein Bar Chocolate Peanut Butter,8.59,0,Market Basket,6 x 1.7oz,6 x 1.7oz,15242.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Pure Protein,Pure Protein Bar Dark Chocolate Coconut,,Pure Protein Bar Dark Chocolate Coconut,1.69,0,Market Basket,1.76 oz,1.76 oz,15205.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Pure Protein,Pure Protein Chocolate Deluxe Bars,,Pure Protein Chocolate Deluxe Bars,8.59,0,Market Basket,6 x 1.7oz,6 x 1.7oz,15254.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Pure Protein,"Pure Protein Protein Bar, Chocolate Peanut Butter",,"Pure Protein Protein Bar, Chocolate Peanut Butter",6.69,0,Market Basket,6 each,6 each,15250.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Quest,Quest Protein Bar Chocolate Chip Cookie Dough Flavor,,Quest Protein Bar Chocolate Chip Cookie Dough Flavor,2.5,0,Market Basket,2.12 oz,2.12 oz,15261.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Quest,Quest Protein Bar Cookies & Cream Flavor,,Quest Protein Bar Cookies & Cream Flavor,2.5,0,Market Basket,2.12 oz,2.12 oz,15267.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Thats It,"Thats It Fruit Bar, Apple + Pear",,"Thats It Fruit Bar, Apple + Pear",1.59,0,Market Basket,1.2 oz,1.2 oz,15240.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Think!,Think! High Protein Bar Chunky Peanut Butter,,Think! High Protein Bar Chunky Peanut Butter,1.56,0,Market Basket,1 ct,1 ct,15227.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,thinkThin,"Think Thin High Protein Bar, Gluten Free, Chocolate Fudge",,"Think Thin High Protein Bar, Gluten Free, Chocolate Fudge",1.56,0,Market Basket,2.1 oz,2.1 oz,15232.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,thinkThin,Think Thin High Protein Bars Brownie Crunch,,Think Thin High Protein Bars Brownie Crunch,1.56,0,Market Basket,2.1 oz,2.1 oz,15221.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,thinkThin,Think Thin Lean Protein & Fiber Bars Chocolate Almond Brownie,,Think Thin Lean Protein & Fiber Bars Chocolate Almond Brownie,1.59,0,Market Basket,1.41 oz,1.41 oz,15228.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,thinkThin,Think Thin Protein & Fiber Bar Honey Drizzle Peanut,,Think Thin Protein & Fiber Bar Honey Drizzle Peanut,1.89,0,Market Basket,1.76 oz,1.76 oz,15214.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,thinkThin,Think Thin Salted Caramel Chocolate Dipped Bars,,Think Thin Salted Caramel Chocolate Dipped Bars,1.56,0,Market Basket,1.41 oz,1.41 oz,15218.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,thinkThin,thinkThin Protein & Fiber Bar Chunky Chocolate Peanut,,thinkThin Protein & Fiber Bar Chunky Chocolate Peanut,1.59,0,Market Basket,1.41 oz,1.41 oz,15237.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,thinkThin,thinkThin Protein & Fiber Bar Dark Chocolate Peppermint,,thinkThin Protein & Fiber Bar Dark Chocolate Peppermint,1.89,0,Market Basket,1.41 oz,1.41 oz,15264.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,thinkThin,thinkThin Protein & Fiber Bar Pumpkin Spice,,thinkThin Protein & Fiber Bar Pumpkin Spice,1.89,0,Market Basket,1.41 oz,1.41 oz,15263.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Zone Perfect,Zone Perfect Chocolate Caramel Cluster ZonePerfect Nutrition Bar Chocolate Caramel Cluster Bar Bars,,Zone Perfect Chocolate Caramel Cluster ZonePerfect Nutrition Bar Chocolate Caramel Cluster Bar Bars,1.59,0,Market Basket,1.76 oz,1.76 oz,1326.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Zone Perfect,Zone Perfect Nutrition Bar Chocolate Peanut Butter,,Zone Perfect Nutrition Bar Chocolate Peanut Butter,1.56,0,Market Basket,1.76 oz,1.76 oz,1324.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Zone Perfect,Zone Perfect Nutrition Bar Fudge Graham,,Zone Perfect Nutrition Bar Fudge Graham,1.56,0,Market Basket,1.76 oz,1.76 oz,1325.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Zone Perfect,Zone Perfect ZonePerfect Nutrition Bar Strawberry Yogurt Bar Bars,,Zone Perfect ZonePerfect Nutrition Bar Strawberry Yogurt Bar Bars,1.56,0,Market Basket,1.76 oz,1.76 oz,1323.jpg,,3,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Zone Perfect,Zone Perfect Nutrition Bar Chocolate Chip Cookie Dough,,Zone Perfect Nutrition Bar Chocolate Chip Cookie Dough,1.56,0,Market Basket,1.58 oz,1.58 oz,15226.jpg,,3,,,,,,,
Personal Care,Vitamins & Proteins,Protien Bars,Amrita Protein,Amrita Sun Butter & Jelly Protein Bar,,Amrita Sun Butter & Jelly Protein Bar,2.17,1,Market Basket,2.12 oz,2.12 oz,6750.jpg,,13,,,,,,,
Personal Care,Vitamins & Proteins,Protien Bars,Atkins,Atkins Caramel Chocolate Peanut Nougat Bar,,Atkins Caramel Chocolate Peanut Nougat Bar,8.5,1,Market Basket,5 x 1.5 oz,5 x 1.5 oz,6730.jpg,,13,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Fiber One,Fiber One Protein Bars Chocolate Fudge,016000140868,,4.36,0,Market Basket,5 x 0.96 oz,5 x 0.96 oz,X3845.jpg,,5,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Fiber One,Fiber One Protein Bars Strawberries & Cream,016000140899,,4.36,0,Market Basket,5 x 0.96 oz,5 x 0.96 oz,X3846.jpg,,5,,,,,,,
Breakfast & Dairy,Bars & Pastries,Protien Bars,Fiber One,Fiber One Protein Bars Peanut Butter & Chocolate,016000140912,,4.36,0,Market Basket,5 x 0.96 oz,5 x 0.96 oz,X3847.jpg,,5,,,,,,,
