Category,Sub Category,Type,Brand,Product Name,UPC Code,Product Description,Price,Tax,Store,Size,UOM,Image,Spice Level,Aisle No.
Laundry & Paper Goods,Laundry,Laundry Detergent,Ivory Snow,Ivory Snow Gentle Care Detergent 16 Loads,,Ivory Snow Gentle Care Detergent 16 Loads,6.86,1,Market Basket,25 fl oz,25 fl oz,DE0059.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Market Basket,Market Basket Laundry Detergent OXI Fresh Scent,,Market Basket Laundry Detergent OXI Fresh Scent,3.74,1,Market Basket,50 fl oz,50 fl oz,Market Basket.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Market Basket,Market Basket Laundry Detergent Mountain Scent,,Market Basket Laundry Detergent Mountain Scent,3.74,1,Market Basket,50 fl oz,50 fl oz,Market Basket.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Market Basket,Market Basket Laundry Detergent High Efficiency,,Market Basket Laundry Detergent High Efficiency,6.86,1,Market Basket,100 fl oz,100 fl oz,Market Basket.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Market Basket,Market Basket Stain Fighter & Color Booster Concentated 48 Loads Laundry Detergent,,Market Basket Stain Fighter & Color Booster Concentated 48 Loads Laundry Detergent,7.49,1,Market Basket,66 fl oz,66 fl oz,Market Basket.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Method,method laundry detergent ginger mango,,method laundry detergent ginger mango,14.99,1,Market Basket,1.58 L,1.58 L,DE0013.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Meyer,Meyer's Clean Day Laundry Detergent Lavender,,Meyer's Clean Day Laundry Detergent Lavender,17.49,1,Market Basket,64 fl oz,64 fl oz,DE0001.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Meyer,Meyer's Clean Day Laundry Detergent Lemon Verbena Scent,,Meyer's Clean Day Laundry Detergent Lemon Verbena Scent,17.49,1,Market Basket,64 fl oz,64 fl oz,DE0002.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Mrs Stewarts,Mrs Stewarts Concentrated Liquid Bluing Laundry Detergent,,Mrs Stewarts Concentrated Liquid Bluing Laundry Detergent,2.49,1,Market Basket,8 fl oz,8 fl oz,DE0055.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Oxi Clean,OxiClean Laundry Detergent Sparkling Fresh 40 Loads,,OxiClean Laundry Detergent Sparkling Fresh 40 Loads,8.74,1,Market Basket,60 fl oz,60 fl oz,DE0014.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Oxi Clean,OxiClean Laundry Dark Protect Laundry Booster 40 Loads,,OxiClean Laundry Dark Protect Laundry Booster 40 Loads,9.36,1,Market Basket,50 fl oz,50 fl oz,DE0015.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Oxi Clean,OxiClean Laundry Booster Odor Blasters,,OxiClean Laundry Booster Odor Blasters,9.36,1,Market Basket,50 fl oz,50 fl oz,DE0016.jpg,,15
