Category,Sub Category,Type,Brand,Product Name,UPC Code,Product Description,Price,Tax,Store,Size,UOM,Image,Spice Level,Aisle No.
Frozen Food,Frozen Breakfast,Frozen Waffles,Kellogg's ,Kellogg's Eggo Nutrigrain Original ,038000485848,,6.11,0,Market Basket,24.6 oz,24.6 oz,X5042.jpg,,19
Frozen Food,Frozen Dinners & Entrees,Frozen Meal,Lean Cuisine ,Lean Cuisine Fettuccini Alfredo,013800166517,,2.50,0,Market Basket,                  9 1/4 oz,                  9 1/4 oz,X4217.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Meal,Lean Cuisine ,Lean Cuisine Santa Fe-Style Rice & Beans,013800172198,,2.50,0,Market Basket,                10 3/8 oz,                10 3/8 oz,X4218.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Meal,Lean Cuisine ,Lean Cuisine Swdish Meatballs,013800188076,,2.50,0,Market Basket,                  9 1/8  oz,                  9 1/8  oz,X4219.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Meal,Lean Cuisine ,Lean Cuisine Classic Macaroni & Beef,013800188083,,2.50,0,Market Basket,                  9 1/2 oz,                  9 1/2 oz,X4221.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Meal,Lean Cuisine ,Lean Cuisine Five Cheese Rigatoni,013800174208,,2.50,0,Market Basket,10 oz,10 oz,X4222.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Meal,Lean Cuisine ,Lean Cuisine Apple Cranberry Chicken,013800553300,,2.50,0,Market Basket,                  9 5/8 oz,                  9 5/8 oz,X4223.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Meal,Lean Cuisine ,Lean Cuisine Asian-Style Pot Stickers ,013800171139,,2.50,0,Market Basket,9 oz,9 oz,X4224.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Meal,Lean Cuisine ,Lean Cuisine Chicken Fettuccini,013800188038,,2.50,0,Market Basket,                  9 1/4 oz,                  9 1/4 oz,X4226.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Meal,Lean Cuisine ,Lean Cuisine Chicken club Panini,013800170002,,3.13,0,Market Basket,6 oz,6 oz,X4227.jpg,,18
Frozen Food,Frozen Breakfast,Frozen Breakfast,Lender's ,Lender's Plain ,076800002117,,2.11,0,Market Basket,1 count,1 count,X5089.jpg,,19
Frozen Food,Frozen Breakfast,Frozen Breakfast,Lender's ,Lender's Onion ,076800000137,,1.74,0,Market Basket,1 count,1 count,X5090.jpg,,19
Frozen Food,Frozen Breakfast,Frozen Breakfast,Lender's ,Lender's Egg ,076800000120,,1.74,0,Market Basket,1 count,1 count,X5091.jpg,,19
Frozen Food,Frozen Breakfast,Frozen Breakfast,Lender's ,Lender's Plain ,076800000113,,1.74,0,Market Basket,1 count,1 count,X5092.jpg,,19
Frozen Food,Frozen Dinners & Entrees,Frozen Meal,Life Cuisine ,Life Cuisine Broccoli Cake Rice Bowl,013800519757,,4.36,0,Market Basket,10 7/8 oz,10 7/8 oz,X4249.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Meal,Life Cuisine ,Life Cuisine Buffalo Style Chicken & Cauliflower Bowl,013800359377,,4.36,0,Market Basket,10 oz,10 oz,X4251.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Meal,Life Cuisine ,Life Cuisine Greek Style Chicken Bowl,013800490087,,4.36,0,Market Basket,10 1/2 oz,10 1/2 oz,X4252.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Meal,Life Cuisine ,Life Cuisine Gluten Free Cauliflower Crust Three Cheese Pizza,013800527776,,4.99,0,Market Basket,6 oz,6 oz,X4253.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Meal,Life Cuisine ,Life Cuisine Uncured Turkey Bacon & Aged White Cheddar,0138000768513,,4.36,0,Market Basket,4.5 oz,4.5 oz,X4254.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,Mama Rosie's,Mama Rosie's Potato Gnocchi,076239421206,,2.74,0,Market Basket,14.5 oz,14.5 oz,X4331.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,Mama Rosie's,Mama Rosie's Three Cheese Lasagna,076239450008,,2.74,0,Market Basket,10 oz,10 oz,X4340.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,Mama Rosie's,Mama Rosie's Three Cheese Lasagna,076239463053,,5.61,0,Market Basket,28 oz,28 oz,X4341.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,Mama Rosie's,Mama Rosie's Spinach & Cheese Lasagna,076239463152,,5.61,0,Market Basket,28 oz,28 oz,X4342.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Meal,Marie Callender's,Marie Callender's Sweet & Spicy Chicken & Noodle Bowl,021131905590,,3.13,0,Market Basket,11.5 oz,11.5 oz,X4050.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Meal,Marie Callender's,Marie Callender's Cheesy Chipotle Rice & Beans Bowl,021131905583,,3.13,0,Market Basket,11.5 oz,11.5 oz,X4053.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Meal,Marie Callender's,Marie Callender's Creamy Vermont Mac & Cheese Bowl,021131905545,,3.13,0,Market Basket,13 oz,13 oz,X4054.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Meal,Marie Callender's,Marie Callender's Fried Chicken Buffalo Style Mac & Cheese Bowl,021131905569,,3.13,0,Market Basket,11.5 oz,11.5 oz,X4055.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Meal,Marie Callender's,Marie Callender's Red Chilli Grilled Chicken Burrito Bowl,021131905576,,3.13,0,Market Basket,11.5 oz,11.5 oz,X4056.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Meal,Marie Callender's,Marie Callender's Tender Ginger Beef & Broccoli Bowl,021131905521,,3.13,0,Market Basket,11.8 oz,11.8 oz,X4057.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Meal,Michael Angelo's,Michael Angelo's Baked Ziti with Meatballs,037363982339,,3.74,0,Market Basket,11 oz,11 oz,X4140.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,Michelina's,Michelina's Chicken Fried Rice,717854305518,,1.25,0,Market Basket,8 oz,8 oz,X4117.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,Michelina's,Michelina's Pop'n Chicken,717854152099,,1.25,0,Market Basket,4.5 oz,4.5 oz,X4121.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,Mrs.T's ,Mrs.T's Pierogies 4 Cheese Medley,041164000413,,3.13,0,Market Basket,16 oz,16 oz,X4301.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,Mrs.T's ,Mrs.T's Pierogies Classic Cheddar,041164000222,,3.13,0,Market Basket,16 oz,16 oz,X4329.jpg,,18
Frozen Food,Frozen Breakfast,Frozen Waffles,Nature's Path ,nature's Path Chia Plus ,058449590729,,3.13,0,Market Basket,7.4 oz,7.4 oz,X5008.jpg,,19
Frozen Food,Frozen Pizza,Frozen Pizza,Newman's Own ,Newman's Own Cauliflower Crust Cheese ,020662005984,,8.74,0,Market Basket,12 oz,12 oz,X4883.jpg,,19
Frozen Food,Frozen Pizza,Frozen Pizza,Newman's Own ,Newman's Own Thin And Crispy Pizza White ,020662006073,,6.61,0,Market Basket,15.1 oz,15.1 oz,X4909.jpg,,19
Frozen Food,Frozen Pizza,Frozen Pizza,Newman's Own ,Newman's Own Thin And Crispy Pizza Supreme ,020662006028,,6.61,0,Market Basket,17 oz,17 oz,X4910.jpg,,19
Frozen Food,Frozen Pizza,Frozen Pizza,Newman's Own ,Newman's Own Thin And Crispy Pizza Uncured Pepperoni,020662006011,,6.61,0,Market Basket,15.1 oz,15.1 oz,X4911.jpg,,19
Frozen Food,Frozen Dinners & Entrees,Frozen Meal,P.F.Chang's,P.F.Chang's Chicken Lo Mein,031000670757,,4.99,0,Market Basket,11 oz,11 oz,X4099.jpg,,18
