Category,Sub Category,Type,Brand,Product Name,UPC Code,Product Description,Price,Tax,Store,Size,UOM,Image,Spice Level,Aisle No.
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Pepsi,Pepsi Caffeine Free Box of Cans,,Pepsi Caffeine Free Box of Cans,5.63,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,3914.jpg,,17
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Pepsi,Pepsi Wild Cherry Box of Cans,,Pepsi Wild Cherry Box of Cans,5.63,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,3932.jpg,,17
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Pepsi,Pepsi Original Box of Cans,,Pepsi Original Box of Cans,9.99,0,Market Basket,24 x 12 fl oz,24 x 12 fl oz,bcs0535.jpg,,17
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Pepsi,Pepsi Diet Box of Cans,,Pepsi Diet Box of Cans,9.99,0,Market Basket,24 x 12 fl oz,24 x 12 fl oz,bcs0536.jpg,,17
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Pepsi,Pepsi Original,,Pepsi Original,2.5,0,Market Basket,2 L,2 L,3918.jpg,,17
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Pepsi,Pepsi Diet Caffeine Free,,Pepsi Diet Caffeine Free,2.5,0,Market Basket,2 L,2 L,bcs0537.jpg,,17
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Pepsi,Pepsi Caffeine Free,,Pepsi Caffeine Free,2.5,0,Market Basket,2 L,2 L,bcs0538.jpg,,17
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Pepsi,Pepsi Wild Cherry,,Pepsi Wild Cherry,2.5,0,Market Basket,2 L,2 L,bcs0539.jpg,,17
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Pepsi,Pepsi Real Sugar Box of Cans,,Pepsi Real Sugar Box of Cans,5.63,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,3927.jpg,,17
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Pepsi,Pepsi Diet,,Pepsi Diet,2.5,0,Market Basket,2 L,2 L,3919.jpg,,17
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Pepsi,Pepsi Diet Wild Cherry Box of Cans,,Pepsi Diet Wild Cherry Box of Cans,4.38,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,3928.jpg,,17
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Pepsi,Pepsi Max Zero Sugar Cola,,Pepsi Max Zero Sugar Cola,2.5,0,Market Basket,2 L,2 L,3915.jpg,,17
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Pepsi,Pepsi Zero Sugar Box of Cans,,Pepsi Zero Sugar Box of Cans,5.63,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,3931.jpg,,17
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Polar,Polar Diet Orange Dry,,Polar Diet Orange Dry,2.11,0,Market Basket,2 L,2 L,bcs0650.jpg,,11
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Polar,Polar Black Cherry Soda Cans,,Polar Black Cherry Soda Cans,4.99,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,bcs0653.jpg,,11
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Polar,Polar Pineapple Flavored Soda,,Polar Pineapple Flavored Soda,1.74,0,Market Basket,2 L,2 L,bcs0656.jpg,,17
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Polar,Polar Diet Pomegranate Dry Soda,,Polar Diet Pomegranate Dry Soda,1.74,0,Market Basket,2 L,2 L,bcs0657.jpg,,11
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Polar,Polar Cream Soda,,Polar Cream Soda,1.74,0,Market Basket,2 L,2 L,bcs0659.jpg,,17
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Polar,Polar Diet Pink Grapefruit Dry,,Polar Diet Pink Grapefruit Dry,2.11,0,Market Basket,2 L,2 L,bcs0661.jpg,,11
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Sierra Mist,Sierra Mist Flavored Soda Lemon Lime Caffeine Free,,Sierra Mist Flavored Soda Lemon Lime Caffeine Free,5.63,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,16639.jpg,,17
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Sierra Mist,"Sierra Mist Lemon Lime Flavored Soda, Caffeine Free",,"Sierra Mist Lemon Lime Flavored Soda, Caffeine Free",2.5,0,Market Basket,2 L,2 L,16649.jpg,,17
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Sprite,Sprite Lemon Lime Soda No Caffeine,,Sprite Lemon Lime Soda No Caffeine,1.24,0,Market Basket,2 L,2 L,16570.jpg,,17
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Sprite,Sprite Lemon Lime Zero Sugar Soda,,Sprite Lemon Lime Zero Sugar Soda,1.24,0,Market Basket,2 L,2 L,16572.jpg,,17
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Sprite,Sprite Lemon Lime Soda No Caffeine Box of Cans,,Sprite Lemon Lime Soda No Caffeine Box of Cans,9.99,0,Market Basket,24 x 12 fl oz,24 x 12 fl oz,bcs0561.jpg,,17
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Sprite,Sprite Lemon Zero Sugar Lime Soda Box of Cans,,Sprite Lemon Zero Sugar Lime Soda Box of Cans,6.86,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,bcs0562.jpg,,17
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Sprite,Sprite Lemon Lime Soda No Caffeine Box of Cans,,Sprite Lemon Lime Soda No Caffeine Box of Cans,6.86,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,bcs0563.jpg,,17
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Sunkist,Diet Sunkist Orange Soda,,Diet Sunkist Orange Soda,2.11,0,Market Basket,2 L,2 L,16578.jpg,,17
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Sunkist,Sunkist Orange Soda,,Sunkist Orange Soda,2.11,0,Market Basket,2 L,2 L,16597.jpg,,17
Beverages & Juices,Water,Sparkling Water,Market Basket,Market Basket Sparkling Natural Mineral Water,,Market Basket Sparkling Natural Mineral Water,7.49,0,Market Basket,6 x 33.8 fl oz,6 x 33.8 fl oz,Market Basket.jpg,,11
Beverages & Juices,Water,Sparkling Water,Poland Spring,Poland Spring Sparkling Natural Spring Water,,Poland Spring Sparkling Natural Spring Water,2.49,0,Market Basket,6 x 0.5 L,6 x 0.5 L,3240.jpg,,11
Beverages & Juices,Water,Sparkling Water,Poland Spring,"Poland Spring Sparkling Water, Black Cherry",,"Poland Spring Sparkling Water, Black Cherry",3.74,0,Market Basket,8 x 16.9 fl oz,8 x 16.9 fl oz,3238.jpg,,11
Beverages & Juices,Water,Sparkling Water,Poland Spring,"Poland Spring Sparkling Water, Triple Berry",,"Poland Spring Sparkling Water, Triple Berry",3.74,0,Market Basket,8 x 16.9 fl oz,8 x 16.9 fl oz,3230.jpg,,11
Beverages & Juices,Water,Sparkling Water,Poland Spring,"Poland Spring Sparkling Water, Zesty Lime",,"Poland Spring Sparkling Water, Zesty Lime",3.74,0,Market Basket,8 x 16.9 fl oz,8 x 16.9 fl oz,3229.jpg,,11
Beverages & Juices,Water,Sparkling Water,Poland Spring,"Poland Spring Sparkling Water, Twist of Orange",,"Poland Spring Sparkling Water, Twist of Orange",3.74,0,Market Basket,8 x 16.9 fl oz,8 x 16.9 fl oz,bcs0618.jpg,,11
